Object: person, Confidence: 92.68%, Distance: 0.47m
Object: person, Confidence: 99.32%, Distance: 0.46m
Object: person, Confidence: 99.41%, Distance: 0.46m
Object: person, Confidence: 99.41%, Distance: 0.46m
Object: person, Confidence: 99.12%, Distance: 0.46m
Object: person, Confidence: 99.41%, Distance: 0.46m
Object: person, Confidence: 99.41%, Distance: 0.46m
Object: person, Confidence: 94.14%, Distance: 0.47m
Object: person, Confidence: 94.73%, Distance: 0.49m
Object: person, Confidence: 97.31%, Distance: 0.48m
Object: person, Confidence: 98.73%, Distance: 0.48m
Object: person, Confidence: 98.73%, Distance: 0.48m
Object: person, Confidence: 99.12%, Distance: 0.49m
Object: person, Confidence: 99.32%, Distance: 0.49m
Object: person, Confidence: 99.41%, Distance: 0.49m
Object: person, Confidence: 99.51%, Distance: 0.52m
Object: person, Confidence: 99.22%, Distance: 0.49m
Object: person, Confidence: 99.41%, Distance: 0.52m
Object: person, Confidence: 99.41%, Distance: 0.81m
Object: person, Confidence: 99.12%, Distance: 0.49m
Object: person, Confidence: 99.51%, Distance: 0.85m
Object: person, Confidence: 99.12%, Distance: 0.61m
Object: person, Confidence: 99.41%, Distance: 0.73m
Object: person, Confidence: 99.61%, Distance: 0.76m
Object: person, Confidence: 99.32%, Distance: 0.86m
Object: person, Confidence: 99.61%, Distance: 0.86m
Object: person, Confidence: 99.51%, Distance: 0.77m
Object: person, Confidence: 99.51%, Distance: 0.80m
Object: person, Confidence: 99.51%, Distance: 0.55m
Object: person, Confidence: 99.51%, Distance: 0.71m
Object: person, Confidence: 99.51%, Distance: 0.77m
Object: person, Confidence: 99.32%, Distance: 0.52m
Object: person, Confidence: 99.51%, Distance: 0.49m
Object: person, Confidence: 99.41%, Distance: 0.61m
Object: person, Confidence: 99.22%, Distance: 0.55m
Object: person, Confidence: 99.41%, Distance: 0.76m
Object: person, Confidence: 99.32%, Distance: 0.72m
Object: person, Confidence: 99.51%, Distance: 0.59m
Object: person, Confidence: 99.61%, Distance: 0.48m
Object: person, Confidence: 96.97%, Distance: 0.57m
Object: person, Confidence: 90.38%, Distance: 0.54m
Object: person, Confidence: 97.27%, Distance: 0.51m
Object: person, Confidence: 85.74%, Distance: 0.49m
Object: person, Confidence: 95.95%, Distance: 0.48m
Object: person, Confidence: 94.73%, Distance: 0.47m
Object: person, Confidence: 91.26%, Distance: 0.71m
Object: person, Confidence: 97.90%, Distance: 0.55m
Object: person, Confidence: 98.54%, Distance: 0.56m
Object: person, Confidence: 99.22%, Distance: 0.72m
Object: person, Confidence: 99.12%, Distance: 0.53m
Object: person, Confidence: 99.22%, Distance: 0.47m
Object: person, Confidence: 99.12%, Distance: 0.48m
Object: person, Confidence: 99.02%, Distance: 0.47m
Object: person, Confidence: 98.93%, Distance: 0.49m
Object: person, Confidence: 99.22%, Distance: 0.54m
Object: person, Confidence: 99.12%, Distance: 0.71m
Object: person, Confidence: 97.41%, Distance: 0.52m
Object: person, Confidence: 99.12%, Distance: 0.73m
Object: person, Confidence: 98.00%, Distance: 0.56m
Object: person, Confidence: 66.50%, Distance: 0.60m
